1	280
705	742
123	730
61	108
756	122
416	138
964	255
982	684
556	46
13	137
392	44
17	935
826	345
908	512
155	939
780	783
653	925
871	247
668	551
646	786
698	702
387	494
130	143
99	414
165	995
285	182
842	225
719	510
543	510
797	915
864	939
214	473
283	527
811	270
681	397
22	27
393	241
743	784
57	552
168	342
5	717
362	165
993	532
728	181
300	378
149	756
603	73
698	52
313	780
705	409
561	107
227	589
792	454
442	161
942	812
805	160
650	150
494	384
943	42
48	945
659	962
449	316
164	308
502	989
772	623
692	823
518	931
887	488
4	595
477	652
552	796
227	808
998	471
114	137
679	364
829	306
953	555
251	808
391	471
241	619
286	259
486	469
483	305
297	319
848	108
492	923
55	784
400	511
964	105
115	558
868	839
959	889
482	683
806	595
800	382
491	377
124	391
274	270
808	871
253	122
645	293
358	149
122	154
163	56
422	908
416	216
809	462
344	109
753	946
40	71
946	55
932	80
237	840
918	111
692	302
310	308
458	584
579	498
938	255
682	512
313	384
254	553
469	359
472	158
734	870
761	275
364	709
143	218
908	432
111	850
981	155
639	46
633	685
808	191
879	154
129	306
966	831
187	381
281	480
432	37
411	831
933	588
177	173
945	82
931	388
86	982
540	809
636	32
583	954
115	146
175	456
323	360
244	261
871	475
865	831
878	190
85	101
492	146
839	219
731	574
301	639
921	651
326	791
625	728
621	70
89	447
510	549
454	479
623	224
907	501
808	826
134	163
689	446
664	514
499	632
539	252
317	737
416	848
876	410
512	644
270	72
941	249
208	196
679	597
583	620
515	521
696	136
316	89
165	569
172	250
387	456
523	542
596	366
831	951
15	947
465	842
425	513
489	279
52	951
651	818
970	991
164	107
247	467
461	853
310	883
284	556
868	973
640	859
31	398
740	845
834	532
329	468
107	548
208	470
878	787
324	622
408	504
160	472
886	102
374	801
954	827
692	614
276	159
63	483
651	852
711	169
775	77
550	182
435	558
418	394
589	47
466	863
799	798
30	717
664	479
551	360
833	509
329	658
480	794
301	154
124	492
354	829
607	376
785	747
612	387
468	212
914	577
229	387
459	676
287	12
589	225
913	829
248	726
284	133
811	940
846	924
90	710
541	877
450	518
423	572
293	848
113	981
731	854
514	364
785	703
48	548
600	960
412	914
950	338
959	330
476	556
130	350
49	574
115	265
742	333
322	792
553	779
976	259
342	375
619	799
500	173
195	302
716	9
862	892
521	584
996	432
548	214
338	163
865	853
636	820
460	418
16	599
823	476
23	711
184	319
992	408
503	621
505	729
573	173
606	887
628	297
664	107
797	442
343	617
170	650
862	168
756	36
897	981
268	160
485	888
691	360
324	960
851	595
252	571
677	526
131	549
192	243
381	219
530	107
923	168
156	753
185	282
97	819
911	872
504	683
692	111
702	176
227	667
809	456
878	325
185	850
233	126
870	756
177	282
248	226
816	804
957	196
542	536
625	593
560	501
613	578
604	456
423	870
851	833
763	647
22	200
921	621
183	950
13	515
613	795
882	537
264	127
139	723
691	951
997	41
834	138
211	600
956	417
629	413
782	122
561	947
410	511
878	603
728	136
540	286
378	726
437	469
110	108
125	416
227	655
902	858
217	811
488	338
274	120
342	996
56	898
670	660
11	347
159	943
349	698
653	417
125	813
637	932
89	150
806	260
821	229
85	19
327	952
680	495
600	475
414	809
337	956
391	345
409	437
43	225
693	766
989	8
176	879
463	760
115	594
764	730
877	213
574	908
602	651
72	845
328	396
884	938
195	243
362	792
761	676
581	840
373	222
615	93
136	97
192	219
506	137
275	242
491	256
62	220
672	482
487	739
400	134
684	100
449	981
425	941
506	837
496	298
90	841
101	713
866	175
57	154
856	625
37	572
234	690
861	5
827	640
906	412
820	108
724	348
529	613
371	553
40	35
442	534
396	457
651	852
945	774
128	622
104	887
504	114
211	994
386	927
489	195
923	614
56	367
178	481
66	246
514	504
181	967
656	323
468	2
215	907
291	377
666	218
330	752
342	109
613	150
380	661
696	793
817	159
58	493
854	852
604	160
680	839
152	996
381	202
64	888
340	886
100	940
63	919
575	632
143	303
712	755
109	704
154	514
988	297
591	264
998	464
721	326
30	876
999	52
693	469
628	2
477	117
281	470
175	248
485	755
572	756
650	58
654	619
103	248
7	301
820	455
416	445
37	935
556	345
476	764
364	949
232	852
911	174
584	666
390	178
286	859
568	414
275	255
24	262
414	800
352	306
650	262
285	918
996	203
219	621
587	713
48	166
64	237
409	658
77	233
970	769
229	323
893	360
27	940
361	256
827	719
12	937
21	79
286	263
839	614
938	155
608	144
509	136
14	915
89	110
558	423
565	21
582	609
820	170
477	947
844	906
703	187
512	134
504	182
456	166
638	622
622	861
155	242
306	648
504	714
82	795
579	98
802	865
581	89
262	971
660	741
533	652
641	845
151	891
540	181
967	450
255	1000
152	520
734	638
68	534
519	66
540	432
221	747
97	957
718	18
418	324
520	250
253	490
816	308
876	754
258	528
992	668
170	20
53	623
179	537
482	328
913	848
509	141
602	740
357	688
608	995
77	728
15	387
